Picture	Category	GendDiff	AngrMean	AngrSD	DisgMean	DisgSD	FearMean	FearSD	SadnMean	SadnSD
1019	DF		2.02	1.68	3.28	2.03	3.83	2	1.75	1.46
1022	F	*	1.37	0.96	2.38	2.2	3.35	2.18	1.42	1.11
1030	DF		1.23	0.74	2.12	2	2.93	2.22	1.23	0.87
1040	DF	*	1.72	1.6	2.77	2.23	3.48	2.21	1.37	1.15
1050	DF	*	1.5	1.14	2.55	2.17	3.28	2.19	1.32	0.77
1051	DF		1.53	1.24	2.4	2.04	3.2	2.11	1.37	1.01
1052	F		1.48	1.11	2.32	2.01	3.3	2.1	1.22	0.56
1070	DF	*	1.47	1.02	2.52	2.08	3.28	2.1	1.32	0.85
1080	DF	*	1.33	0.82	2.45	2.06	3.15	2.07	1.25	0.82
1090	DF		1.42	0.93	2.27	2.05	2.98	2.13	1.35	1.09
1110	F		1.35	0.9	2.13	1.93	3.18	2	1.28	0.78
1111	DF	*	1.58	1.31	4.22	2.13	3.4	2.09	1.32	0.77
1113	F		1.4	1.04	2.37	1.95	3.38	2.04	1.4	1.06
1120	DF	*	1.43	0.96	2.57	2.23	3.45	2	1.23	0.7
1200	DF	*	1.5	1.19	2.87	2.29	3.3	2.2	1.18	0.62
1201	DF	*	1.7	1.55	3.25	2.36	3.55	2.16	1.4	0.94
1220	DF		1.4	1.2	2.87	2.3	3.15	2.22	1.18	0.68
1230	DF		1.58	1.38	2.42	2.08	2.73	2.14	1.3	0.79
1240	DF		1.38	1.08	2.57	2.14	2.82	2.18	1.3	1.05
1270	DF	*	1.42	1.18	3.13	2.05	2.28	1.78	1.2	0.58
1274	DF		1.53	1.37	3.55	2.2	2.9	2.19	1.27	0.97
1275	DF		1.55	1.38	3.25	2.25	2.4	1.95	1.28	0.88
1280	DF		1.62	1.19	4.63	1.87	3.12	1.96	1.47	0.85
1300	DF		1.9	1.51	3.18	2.08	3.72	1.87	1.6	1.24
1301	F		1.55	1.27	1.95	1.63	3.23	1.81	1.35	0.86
1302	F		1.57	1.03	1.45	0.96	2.88	1.69	1.18	0.5
1321	F		1.52	1.08	1.37	0.99	3.08	1.83	1.37	0.8
1390	DF		1.28	0.83	2.38	1.98	2.65	1.79	1.07	0.31
1930	F		1.8	1.57	1.9	1.72	3.6	1.98	1.42	1.12
1931	F		1.83	1.67	1.9	1.68	3.52	2.04	1.37	1.04
1945	D	*	1.37	1.13	3.18	2.21	2.13	1.85	1.43	1.13
2053	S		2.32	1.81	2.67	1.86	2.48	1.83	4.95	1.8
2100	ADF		1.9	1.39	1.6	1.12	2.08	1.48	1.42	0.89
2110	U		2.05	1.47	1.73	1.33	2.42	1.67	1.6	1.15
2120	U		2.38	1.8	1.83	1.29	2.77	1.74	1.52	1.14
2130	S		1.82	1.44	1.67	1.11	1.87	1.21	1.57	1.25
2141	S		1.95	1.48	2.35	1.68	2.27	1.72	4.45	1.67
2205	S		1.87	1.37	1.88	1.5	2.25	1.78	5.3	1.59
2221	U		1.6	1.29	1.23	0.67	1.67	1.16	1.37	1.07
2230	U	*	1.32	0.75	1.13	0.39	1.58	1.05	1.93	1.46
2271	S		1.55	1.33	1.47	1.08	1.38	0.88	2.47	1.73
2276	S		2.02	1.84	1.72	1.4	1.68	1.42	4.37	1.91
2280	U		1.13	0.68	1.03	0.18	1.22	0.87	1.68	1.33
2312	S		1.68	1.31	1.4	1.03	1.62	1.26	3.42	1.86
2352.2	D		3	2.12	5.43	1.71	2.63	1.87	4.37	2.24
2490	S		1.35	0.97	1.58	1.2	1.4	0.91	2.95	1.86
2520	S		1.53	1.24	1.42	0.74	1.55	1.13	3.5	2.01
2590	S		1.33	0.75	1.45	0.85	1.68	1.16	3.87	1.68
2661	U	*	2.38	1.8	2.87	2	2.03	1.5	4.87	1.84
2681	U		1.98	1.42	1.68	1.38	2.3	1.5	1.5	1.13
2682	U		2.55	1.92	2.23	1.67	2.5	1.63	1.93	1.52
2691	U	*	4.07	2.06	3.48	2.01	3.12	2.01	3.77	2.17
2692	U		2.82	2.05	2.47	1.84	3.38	2	2.68	1.93
2700	S		1.7	1.36	1.3	0.72	1.53	1.05	3.52	1.8
2710	U		3.05	2.14	3.75	2.22	2.42	1.83	3.45	1.91
2750	DS		2.9	2.1	4.2	1.89	2.4	1.82	4.08	2.08
2800	S		2.97	1.98	2.7	1.83	2.05	1.55	5.4	1.62
2819	AS		2.33	1.56	1.35	0.61	1.58	1.15	2.32	1.72
2900	S		1.9	1.53	1.68	1.44	1.58	1.14	4.47	1.7
3000	D		3.17	2.33	6.07	1.45	3.38	2.25	4.63	2.08
3010	D		3.28	2.19	5.73	1.48	3.38	2.13	4.37	2.12
3015	D	*	3.73	2.43	5.73	1.58	3.17	2.04	4.72	2.08
3022	U		1.97	1.48	2.08	1.49	2.6	1.82	2.37	1.65
3030	DS		2.78	1.93	4.97	1.78	2.8	1.96	4.2	2.08
3051	DS	*	3.23	2.09	5.28	1.75	3.22	2.12	4.48	2.02
3060	D	*	3.13	2.27	5.83	1.46	3.03	2.07	4.18	2.2
3061	D		2.88	2.19	5.02	1.95	3.35	2.15	3.38	2.23
3064	U	*	4.43	2.47	5.65	1.57	3.48	2.27	5.28	1.84
3071	D		3.22	2.19	5.63	1.6	3.4	2.13	4.3	2.23
3080	D	*	2.82	2.05	5.75	1.55	3.08	1.95	4.1	2.31
3110	D		3.17	2.23	5.52	1.68	3.25	2.14	4.37	2.14
3120	D	*	3.37	2.34	5.43	1.63	3.12	2.13	4.35	2.15
3130	D		3.08	2.13	5.75	1.51	3.22	2.15	4.2	2.02
3140	D		2.87	2.1	5.65	1.51	3.02	2.08	4.12	2.07
3150	D		2.17	1.62	5.95	1.36	3.02	2	3.17	2.03
3160	DS		1.63	1.29	3.88	1.92	2.27	1.56	3.32	1.89
3180	ADS		3.28	2.07	3.38	1.69	2.27	1.67	4.07	1.81
3181	U	*	3.43	2.12	4.13	1.89	2.6	1.77	4.47	1.83
3210	U		1.47	1.13	2.55	1.83	2.47	1.78	1.8	1.36
3220	S		1.97	1.52	2.18	1.47	1.97	1.54	4.23	1.66
3230	S		2.1	1.69	2.43	1.72	2.38	1.79	4.77	1.74
3250	D		1.7	1.48	5.3	2.11	2.12	1.67	2.03	1.73
3280	F		1.32	0.68	1.48	1.08	2.17	1.63	1.5	0.98
3300	S		2.17	1.63	1.97	1.54	1.7	1.37	4.15	1.83
3301	S		3.37	2.01	3.57	2.04	2.28	1.62	4.83	1.67
3350	S	*	2.48	1.96	2.92	1.91	2.2	1.73	5.12	1.75
3400	D		2.48	2	5.87	1.52	3.32	2.27	3.28	2.29
3500	U		4.27	1.98	3.63	2.15	4.05	1.85	3.9	2.05
3530	U		3.9	2.12	3.85	1.98	4	2.06	4.08	2.03
3550	U		2.87	1.88	3.95	1.79	3.02	1.91	3.48	1.98
5940	U		2.18	1.87	1.93	1.78	3.58	2.08	2.8	2.11
5970	F		1.63	1.25	1.68	1.35	3.38	2.03	2.5	1.84
5971	FS		2	1.55	1.7	1.28	3.28	1.81	2.63	1.82
5972	F		1.82	1.23	1.52	1.17	3.37	1.99	2.43	1.73
6010	U		2.58	1.97	2.07	1.41	2.52	1.68	2.9	1.93
6020	U		3.67	2.45	3.47	2.42	3.23	2.25	3.68	2.5
6190	U		2.87	1.98	2.25	1.68	3.02	1.72	2.42	1.67
6200	U		2.67	1.97	2.05	1.59	2.8	1.72	2.4	1.75
6210	U		2.68	1.77	2.32	1.84	3.03	1.8	2.08	1.52
6211	U		3.03	2.02	2.8	2.14	3.7	2.06	3.08	2
6212	U		4.95	2.09	4.47	2.13	3.57	2.19	5.25	1.81
6213	U		3.4	2.01	2.78	1.97	3.35	1.82	3.2	1.96
6230	U		3.1	2.12	2.18	1.73	3.78	1.88	2.63	1.9
6244	U		3	2.14	2.47	1.72	3.7	1.88	2.5	1.76
6250	U		2.93	1.97	2.35	1.74	3.22	1.69	2.38	1.76
6260	U		2.92	2.02	2.25	1.81	3.47	1.72	2.43	1.66
6300	U		3.27	2.11	2.58	1.9	3.62	1.91	2.57	1.89
6312	U		4.42	2.19	3.8	1.99	3.53	2.13	4.07	1.86
6313	U		4.47	1.96	3.83	2.07	4.1	2.01	4.18	1.99
6350	U		4.35	2.07	3.83	2.02	4.1	2.13	4.17	2.01
6360	ADS		4.82	2.11	4.5	2	3.1	2.13	4.5	1.95
6370	AF		3.48	2.18	2.6	1.79	3.83	2	2.08	1.39
6410	U		2.72	2.03	2.27	1.87	2.68	1.89	2.2	1.78
6540	U		4.67	2.1	3.85	1.91	3.83	2.26	4.23	1.93
6550	U		4.78	2.16	4.32	2.23	4.45	2.02	4.42	1.92
6560	U		4.32	2.19	4.22	2.13	4.03	2.13	4.45	1.91
6570	S		3.57	2.13	3.3	2.23	3.73	2.15	4.67	1.94
6610	U		3.72	2.13	2.85	1.95	4.33	1.95	2.63	1.87
6800	U		2.65	2.04	2.22	1.84	2.52	1.81	1.95	1.43
6830	U		3.85	2.25	3.53	2.1	3.78	1.91	3.13	2.05
6834	U		3.37	2.28	3.18	2.12	3.03	1.78	3.9	2.05
6836	U	*	2.88	1.98	2.38	1.84	2.58	1.87	2.35	1.61
6838	S		3.57	2.08	3.15	1.93	3.1	1.97	5	1.55
6840	U		3.28	1.98	3.03	1.8	2.73	1.85	2.53	1.64
6930	U		2.73	2.08	2.23	1.66	2.72	1.88	2.68	1.92
6940	U		3.13	2.16	2.57	1.81	3.45	2.15	3.08	2.06
7360	D		2.02	1.73	4.13	2.17	1.58	1.15	1.47	1.14
7361	D		1.92	1.61	4.4	2.24	2.75	2.18	2.35	1.78
7380	D		2.37	1.87	5.13	1.86	2.48	1.76	1.92	1.62
8010	S		1.13	0.68	1.08	0.42	1.2	0.88	2.32	1.78
8230	D		2.4	1.99	4.28	1.9	1.92	1.52	2.85	1.83
8231	U		2.1	1.79	2.87	1.68	1.67	1.26	2.18	1.6
8480	U		2.5	2.01	3.07	2.14	3.38	2.14	3.18	2.3
9000	S		1.93	1.61	1.53	1.23	2.8	2.08	4.05	2.13
9010	U		2.23	1.94	2.02	1.6	2.45	1.62	2.47	1.85
9040	DS		3.73	2.06	5.02	1.96	2.45	2	5.47	1.5
9041	S		2.2	1.77	1.7	1.33	2.17	1.85	4.08	1.99
9042	D		2.1	1.76	5.15	1.86	2.18	1.62	2.75	1.99
9050	S	*	3.18	2.14	2.58	1.91	3.67	2.06	4.93	1.76
9080	U		1.58	1.15	1.78	1.45	2.37	1.87	1.97	1.65
9090	U		2.32	1.87	2.8	1.97	1.68	1.11	2.18	1.61
9101	U		3.3	2.28	3.83	2.34	2.15	1.74	3.33	2.29
9110	U		2.47	1.92	2.8	1.86	1.93	1.57	2.13	1.48
9120	S		1.2	0.8	1.1	0.44	1.23	0.59	1.77	1.21
9140	DS		2.48	2.02	4.37	1.88	1.92	1.59	3.7	1.99
9160	U		2.72	2.1	2.17	1.63	2.8	1.91	2.83	2.03
9180	ADS		2.77	2.21	3.38	1.98	1.72	1.52	3.97	2.07
9181	DS		3.1	2.13	4.32	2.05	1.87	1.51	4.1	1.95
9182	DS		2.58	1.95	3.75	2.01	1.9	1.5	4.17	1.98
9190	S		1.95	1.59	2.17	1.51	1.97	1.31	3.45	1.85
9210	S		1.07	0.41	1.07	0.31	1.1	0.3	1.63	1.22
9230	U		2.6	1.92	2.32	1.57	3.02	1.85	3.13	2.21
9250	U		2.85	1.94	2.88	1.92	2.5	1.65	4.38	1.65
9252	S		4.53	2.27	5.25	1.76	3.48	2.08	4.83	2.08
