Picture	Category	GendDiff	AmusMean	AmusSD	AweMean	AweSD	ContMean	ContSD	ExciMean	ExciSD
1340	Am		5.417	1.619	3.033	1.785	3.883	1.668	3.5	1.682
1440	U		4.533	1.78	3.883	1.923	4.8	1.634	3.383	1.878
1460	U		4.383	1.992	4.067	1.956	4.8	1.505	3.5	1.761
1463	AmC		4.917	1.72	3.283	1.949	4.533	1.702	3.75	1.643
1500	C		3.017	1.631	2.65	1.665	3.833	1.824	2.983	1.513
1510	U		3.317	1.882	2.6	1.52	3.5	1.722	2.833	1.659
1540	U		3.7	2.149	3.35	1.973	3.567	1.711	2.85	1.745
1560	AwE		2.933	1.876	4.083	1.968	2.833	1.669	4.05	1.863
1590	U		3.117	1.767	3.617	1.795	3.35	1.603	3.3	1.769
1601	U		3.733	1.912	3.267	1.666	3.917	1.544	3.633	1.636
1602	U		2.35	1.505	3.217	1.757	3.383	1.585	2.717	1.462
1603	AwC		2.567	1.64	3.567	1.769	3.767	1.75	2.75	1.643
1604	U		2.45	1.641	3.483	1.809	3.583	1.67	2.767	1.769
1610	U		4.033	2.194	3.183	1.935	4.117	1.627	2.967	1.687
1620	AwC		2.5	1.761	3.3	1.69	3.6	1.628	2.5	1.535
1640	U		2.85	1.614	3.383	1.688	3.217	1.648	3.2	1.783
1650	AwE		3.083	2.044	4.183	1.771	3.167	1.729	3.967	1.697
1660	U		3.967	2	3.217	1.748	3.267	1.831	3.033	1.794
1670	AmC		3.217	2.059	2.033	1.262	2.717	1.617	1.967	1.207
1710	U		4.583	2.053	3.3	1.907	4.683	1.672	3.767	1.76
1720	U		2.95	1.731	4.35	1.774	3.35	1.582	3.933	1.755
1721	U		3.333	1.919	4.283	1.823	4.267	1.745	3.633	1.785
1722	U		3.983	2.021	3.867	1.909	4.617	1.541	3.75	1.743
1740	U		3.317	2.004	3.067	1.539	3.067	1.55	2.617	1.519
1750	U		4.1	1.989	3.467	1.845	4.283	1.728	3.133	1.722
1810	Am		4.617	1.678	3.7	1.788	3.5	1.9	3.317	1.682
1811	Am		5.617	1.497	3.25	1.856	3.75	1.838	4.217	1.595
1812	U		3.467	2.029	3.9	1.792	4.233	1.477	3.367	1.717
1850	Aw		3.233	2.102	4.933	1.849	3.85	1.793	3.7	1.807
1900	U		3.517	2.021	3.8	1.998	3.133	1.641	3.4	1.888
1910	U		3.05	1.751	3.067	1.676	2.8	1.624	2.7	1.598
1920	Am		5.383	1.329	3.817	1.9	4.05	1.578	4.1	1.481
1942	AmAwC		3.917	2.077	3.7	1.88	3.933	1.448	2.95	1.578
1999	AmCE		4.583	1.862	2.517	1.621	3.817	1.771	3.967	1.626
2040	U		3.933	1.726	3.283	1.728	4.183	1.578	3.467	1.589
2050	AmC		4.517	1.836	3.083	1.934	4.467	1.61	3.433	1.769
2057	U		4.217	2.001	3.433	2.037	4.75	1.733	3.567	1.845
2058	C		3.533	1.864	3.45	1.863	4.4	1.607	3.3	1.769
2070	AmC		4.483	1.918	3.55	1.969	4.4	1.679	3.617	1.914
2080	AmC		4.55	1.808	3.467	1.935	4.5	1.456	3.233	1.701
2091	AmC		4.3	1.74	3.15	1.802	4.583	1.533	3.567	1.566
2092	Am		4.1	1.902	1.967	1.314	2.867	1.652	2.983	1.568
2150	C		2.917	1.925	2.967	1.877	4.217	1.805	2.9	1.644
2160	C		3.167	1.815	3.267	1.903	4.083	1.66	3.217	1.728
